features,accuracy,f1_score,precision,recall
"('PhotoAmt', 'Age', 'Quantity', 'Fee')",0.5818606202067356,0.5808761067233636,0.5818236073577597,0.5818606202067356
"('Age', 'Color2', 'Color1', 'MaturitySize', 'Fee')",0.5818606202067356,0.5799159903578877,0.5821928661881645,0.5818606202067356
"('PhotoAmt', 'Age')",0.5818606202067356,0.5811091793107658,0.581760473160697,0.5818606202067356
"('Age', 'Color2', 'State')",0.5818606202067356,0.5787318850922872,0.5827717511832864,0.5818606202067356
"('Age', 'Color1', 'Breed2', 'MaturitySize')",0.5818606202067356,0.5812475918673934,0.581731704706195,0.5818606202067356
"('Age', 'Color2', 'Quantity', 'MaturitySize')",0.5818606202067356,0.5792930056514796,0.582485741942921,0.5818606202067356
"('Age', 'Color2', 'Breed2', 'Quantity', 'Fee')",0.5818606202067356,0.5810093673042874,0.5817855632910746,0.5818606202067356
"('PhotoAmt', 'Age', 'Breed2', 'Quantity', 'Fee')",0.5815271757252417,0.5809461707767819,0.5813912051269247,0.5815271757252417
"('Age', 'Color2', 'State', 'Quantity', 'MaturitySize')",0.5815271757252417,0.5807871974593731,0.5814222481603585,0.5815271757252417
"('PhotoAmt', 'Breed1', 'State', 'Breed2', 'MaturitySize')",0.5815271757252417,0.5813454017293365,0.582283672699148,0.5815271757252417
"('Age', 'Color1', 'Breed2')",0.581193731243748,0.580972212645639,0.5810485978094654,0.581193731243748
"('PhotoAmt', 'Age', 'State', 'Breed2', 'Fee')",0.581193731243748,0.5806646111890923,0.5810487821668289,0.581193731243748
"('Age', 'Color1', 'State', 'Breed2')",0.5808602867622541,0.5802995942266651,0.5807181346517694,0.5808602867622541
"('Age', 'State', 'Breed2', 'MaturitySize')",0.5808602867622541,0.580278355909494,0.5807212760089854,0.5808602867622541
"('Age', 'Color2', 'Breed2', 'Fee')",0.5808602867622541,0.5802567407679978,0.5807247075982318,0.5808602867622541
"('PhotoAmt', 'Age', 'Color1', 'Quantity', 'MaturitySize')",0.5808602867622541,0.5804191177776279,0.5807053700411455,0.580860286762254
"('Age', 'Color2', 'Quantity', 'MaturitySize', 'Fee')",0.5805268422807602,0.5790475300496735,0.5806452855736506,0.5805268422807602
"('Age', 'Color2', 'State', 'Quantity', 'Fee')",0.5801933977992664,0.5776820172768239,0.58074946473585,0.5801933977992664
"('PhotoAmt', 'Breed1', 'State', 'Breed2')",0.5801933977992664,0.5790038801612986,0.582355966096606,0.5801933977992664
"('Age', 'Color1', 'State', 'Breed2', 'MaturitySize')",0.5798599533177726,0.5798496729199304,0.5798414553774939,0.5798599533177726
"('PhotoAmt', 'Age', 'Color2', 'Breed2', 'Fee')",0.5798599533177726,0.5778669966297264,0.5801752690261043,0.5798599533177726
"('PhotoAmt', 'Age', 'Color2', 'Color1', 'MaturitySize')",0.5791930643547849,0.5782022700836403,0.5791344941702753,0.5791930643547849
"('Age', 'Breed2', 'MaturitySize', 'Fee')",0.5791930643547849,0.578310319156345,0.5791059897856584,0.5791930643547849
